text,hate_label,english_translation,label,post_id
අපේ පැත්තට පැය 10 ක් දැන් කරන්ට් එක නෑ.ටෞකන වැඩ කරන විරුවෙක් අයිසේ... කයිවාරුවයි අම්බරුවෝ ටිකයි ඉන්නකන් 'එයා පට්ට පොරක් අප්පා',HOF,"At our side, there is no longer a permanently.",0,1225020826774384641
ස්ටෝබෙරි සීන් එකේ අලුත් ඉතුරු ලීක් ටිකත් වට්ස්ඇප් ගෘප් හරහා ලැබුනා අද.. ඇත්තටම උන් දෙන්නගෙ ආතල් එක වෙනයි. උන් දෙන්න ෆුල් ලවින් සහ ෆුල් අන්ඩස්ටෑන්ඩ් කපල් එකක්..ඒක දෙකක් නෑ   නමුත් ඒක කැරිම කාලකණ්ණි විදිහට ලීක් කරන වේසිගෙපුතාලා නම්..  හදුන්වන්න වචන නෑ,HOF,"Twenty-wooden leeks on the stalkurry surgene were also erected through Whatsapp Group.They're a Pul Levy, no but if it does it is in a knalyst basis, there are no words.",0,1222561883410116612
"""උඹ එන්නෙ නැත්නම්  මගෙ හීනත් ගියාවේ  ඔන්න ඔහේ පාළුවට  ""  ඒ මේ තත්පරේ උඹේ හිත නේද ?   නොදන්න විදිහට නොදැනෙන විදිහට මං මග අරින ඒ හිත නේද ?   මං කියන්නෙම ,  ජීවිතේ අරන් ඇවිත් උඹ මේ ඇස්වල නම් නවතින්න නරකයි...  සමහරක් ජීවිත කාටවත් අයිති නෑ බන් ආදරේ එහෙමයි...  #ගොන්ට",NOT,"""If you don't come, you don't think that it is in this second this second?Isn't that what you miss unknown?I'm gonna take the lives of life and you have to stay in these eyes ... Some people don't belong to anyone ... #s",1,1021832359010697217
ඊශ්‍රායලය අල් ජසීරා බිල්ඩිමට ගැහුව එක හෙන ලොකු සීන් එකක් වගේ කට්ටිය කතා උනාට. kingsmen head office එකට ගහපු එක දැකලා තිබ්බ නම් ඔහොම කියන්නෙ නෑ. කුඩුත් නෑ ඒ ශොට් එකට.,NOT,"Israel talked to Al Jazeera Building to burn it.If the Kingsmen Head Office was seen, it was noticined.No tubers are not together.",1,1393782736196804608
@USER මට සැබෑ ජීවිතේ වැඩිය තරහාකාරයො නැ..ඇත්තටම බැලුවොත් ඇත්තෙම නෑ වගේ..තමුසෙ දන්නවනේ..ආයෙ ඉතින් SM කබ්බො ගනන් ගන්න්ව් කවුද අප්පා...ඊට වඩා සෙට් එකක් හම්බ උනා මට මේකෙන්..,HOF,@Ser I don't know if I look like it's too many people in real life.,0,1025068953989603329
"ශ්‍රී ලංකා පොළීසිය යනු මෝඩ ආතල් දෙන ස්ථානයකි... මන්දයත්, සැක පිට පාසල් සිසුවෙකු අත් අඩංගුවට ගෙන රිමාන්ඩ් භාරයට... URL",HOF,Sri Lanka interest is a stupid stupid ... After a suspicious schoolgirl arrested ... URL remanded,0,647060882141376512
@USER ඔකට නොගිහින් හිටියොත් 72 නැතිවෙයිද????,NOT,Will @user lose 72 ????,1,1121400607548399617
@USER  @USER    පිස්සු මරාලයක් බං..,NOT,@Ser @user crazy maralle kall,1,1088050756379267074
තව කොටස් කීපයක්ම යන්න තියෙද්දි කිසා සමාප්ත කරපු එක නම් කැතම කැත වැඩක්,NOT,The ugly work is the one who has been concluded when several other parts,1,1466785131515973633
@USER ඒක තමයි කියන්නෙ. ලබ්බ මොකද්ද කියල දන්නැත් නම් දන්නෑ කියල අහන්න ඕනෙ. තප්පුලන්න එපා.. වැඩක් කරන්න බැරිනම් වහගෙන කරන උන්ට කරන්න දීපන්,HOF,"@User that's what is.If you don't know what Labb should not know.Don't be sought, let them make a work, if they can't",0,823124856896000001
"@USER ටහුඩු , ඩීපි එක , නිකන් හිංදි නිලියක් වගේ   @USER",NOT,"@User tunuse, deport, @user like a riddi rank",1,822398267962994688
"අගල් 6"" 4"" කේක් කෑල්ල කොහෙන් ගියාද නෑ...",NOT,"No Where did the 6 ""4 trench"" cake ...",1,1021385846182752256
"@USER තෝවගේ මෝඩ මුසලයෙක් , මී හරකෙක් .යකෝ මුළු ලෝකේම දැක්කා උබලගේ විනීත හැසිරීම .මීට  මර්වින් සිල්වා",HOF,"@User's stupid muse, a buffalo .It 's the demonstration of the whole world .Is",0,1063662817809551360
අර පට්ට බැල්ලියෝ එක්ක බලද්දි ගෙදරට හොරෙන් ජරා වැඩක් කියලා කරේ මල් පාත්තියට චූ කරපු එක විතරයි ඒකත් පහුවදාට මාට්ටුවෙනවා,HOF,"That pat leaves the house secretly asked the house, he was cheating on the flower geese and the next step",0,1323331222676758528
මචං ඔය ෆේස් ඇප් බුදුහාමුදුරුවන් කාලෙත් තිබුනා..ඒත් ඒකාලේ උන්ට ඒවයේ අගයක් තිබුන්නෑනේ..  අනෙප් පල බොරු නොකිය..පෝන් ආවෙත් නමසිය ගනන් වල නේ..  ආ..අර රූපං ජීරති මහා අභිනයෙන් ගෑනි මේම මේම නාකි කරලා පේනනුවේ මොකෙන්ද කිහාන් බලන්න එහෙනම්?,NOT,May the Face apps had a time when Margan OP.,1,1154434118794514432
ටොයියන්ගේ තවත් ජාවාරමක්... මරික්කාර්...අනේ හුකේ.. හැමිනියන් තෝ... URL,HOF,Another racket of Toyan ... Marikkar ...,0,896495930265948160
@USER මේ තරම් සංහාරයක් වෙලා තියෙද්දි කොහොම වෙසක් සමරන්නද?,NOT,How often do you celebrate the number of @ser?,1,1125391054872539136
"එතකොට හන්දියෙ කඩපලට ගිහින් පැන්ටා කුප්පියක් අරන් දෙන්න, හම යනකං කට කන්න, ඈ බොල සති අන්තෙ තොට වෙන වැඩක් ඇත්තෙම නැද්ද කියලා අම්ම තාත්තගෙන් බැනුම් අහගන්ටත් පුලුවන්. Saviii @USER  · 16 Aug 2018 වෙලාවකට හිතෙනවා... දුර පලාතක ගෑනුලමයෙක්ට ආදරේ කරන්න... සති අන්තෙ මුන ගැහෙන්න යන්න... ඒ හම්බෙන්න ගිහින් සතියක් පුරාවට හිතේ හිරකරන් හිටිය ආදරේ ඈට දෙන්න... මූන ගෙවෙනකන් ඇගෙ මූන ඉඹින්න...",HOF,"Then the junction will go to the kilapastapas and eat a penten vial, and eat the skin, and she will bow down to the mother's day.Saviii · 16 AUG loves a girl in a fleet ... to meet the weekend ...",0,1030002244421337089
මිනිස්සුන්ව අපහසුතාවයට පත් කරන්න එපා බොල  Gayan Tharaka @USER  · 19 Dec 2016  @USER දැන් උස කීයද?,NOT,Don't embarrass people Bolly Gayan Tharaka · 19 Dec 2016 @ser's?,1,810852405856256000
@USER  @USER පලයන් බිජ්ජා යන්න,HOF,@Ser @user patel go,0,1043172573373030405
අඩො වරෙන් මෙතනත් වලියක්  #waliyak #වලිMarketing රස්තියාදුකාරයා @USER  · 11 Sep 2017 Seriously ??? කොහෙන්ද මේ research එක කලේ ?? අපිත් ආසයි දැනගන්න. URL,NOT,An arrest here #waliyak #the vali marketing rubbed @ser · 11 Sep 2017 sets ??Where did you do this ??We love to know.URL,1,907210186766655488
@USER මිනිහෙක් මැරුණම හොඳ වැඩේ කියලා සාප කරන ගෑණි කතා කරන්නේ පත්තිනි අම්මා වගේ. මේ පවුලේ ඔක්කොම එහෙමයි. පිටකොටුවේ මුඩුක්කු වල හැදුනු එවුන් ගෙනත් උඩින් තිබ්බට උපන් ගතිගුණ යවන්න බැහැනේ. #Kahanadagama #SriLanka URL,HOF,"@Ser man is like a woman who curses the woman, Mom.It's all the family.It is unable to send births of the petrolets in Pettah.#Kahanadagama #srilanka URL",0,1445978729151406081
"ලස්සන කෙල්ලෙක් දැක්කම, හැන්ඩි කොල්ලෙක් දැක්කම ලස්සනයි කියන්නේ, අපිට ඒ අහවල් එකාව ඕන වෙලා නෙමේ.. සාමාන්‍ය දෙයක් admire කරන සිතුවිල්ලෙන් විතරයි.. ඒ නිසා ලිංගික කුහකත්වය ඇති උදවිය දිරවගන්න අමාරු නම් නොමනා වචන හලවන්නේ නැතුව උන්න නම් ප්‍රස්නයක් ඇත්තෙම නෑ..",NOT,"See a beautiful girl, see a Handy boy, we don't want to admire it.",1,1011149425207533568
"@USER  @USER තංගල්ලෙන් කොළඹට ආවම අයියලා පොශ් වෙලා අම්මටසිරි සිංහලත් අමතක වෙලා කියහම්කො  වට්ස් දිස් කටු කටුස් බිග් ගෙඩිස් මෙයා, කෝස් කෝස් ඕ නෝ කොස් ඇම් රායිට් ඩියර්"" කිව්වෙ තෝ වගේ උන් තමා",NOT,"When @ser @ser came to Colombo to Colombo, I forgot the brother, Big Galees, Coz Cars, and Daus Cars, Kaus Cars, Maus, Maus",1,1202767910806212609
@USER උඹ මතය උඹෙ විදිහට දාන්ඩ වත් කොන්ද පන නැති පොන්නයෙක්නෙ අයිසෙ  කැරි බඩුවක් ඒයි ඔයා.,HOF,"වර් You are no regard to a Ponnek, a Ponne of Ponnene, or is the back of the backbone.",0,1257530688187895810
මේක නම් හරි ඇත්ත.. එක දවසක් මහ දවල් 177 route එකෙ බස් එකක හරි කැත music videos වගයක් play කරා.. ඒ වෙලෙ බස් එකෙ ඉස්කොල් ඇරිලා යන ළමයි ගොඩක් හිටියා..හරිම awkward,NOT,This is true.,1,1200437856235216899
මොන කරුමයක්ද ඕයී අපිට මේ වුනේ..ශැක් මේ වගේ කාලකණ්ණි කාලයක් ආය බලන්න වුනානේ,NOT,"Whatever the fail, Oya was this, and the miserable time like this was again like this",1,1124954035113480192
"""ඔබ ඇමතූ ග්‍රාහකයා මේ මොහොතේ සම්බන්දකල නොහැක කරුනාකර මද වෙලාවකින් පසුව අමතන්න....""  ""පසුව ගන්න ඔනේනම් දැන් ගන්නවද යකෝ....""  #අපිටඇහෙනකෝල්",NOT,"""Call the subscriber you have not been able to connect at the moment ..."" ""Get you later ..."" Now, you're going to ... we will be ...",1,1264903016034922502
@USER අන්න එයාටවත් කියන්න මේ violence එක නවත්තන්න කියල,NOT,@User tell him this violence to stop,1,971655260480487425
"ගෙදර කවුරු හරි විල් බැරෝ එක ගන්නවා වැඩක් කරන්න....  අපේ ගෙදර බල්ලා :  ""මේක මට පදින්න දීපියවු......""",NOT,"In the home, do the lakes cannot work .... Our home dog: ""This is the Day of Day ...",1,1378678037546299405
මූ යකෝ  тнαяιη∂υ ツ @USER  · 19 Apr 2017  @USER අනිත් ටික හැකියාව මත තමා. ටිකක් මැසේජ් කරලා කියනවා. මගේ Twitter  වල DM කරද්දි Stuck වෙනවා. Whatsapp නැද්ද කියලා. පස්සෙ නම්බරේ දෙනවා ඒකිම,NOT,Mouc.Says a little message.Stukk happens when DM in my Twitter.WhatsApp is not or not.All providing the nabe after,1,854636574721548288
@USER පක තමයි සමනල් පාලනය,HOF,@User footmaker control,0,1137283620878503938
@USER මනුස්සයා අනුරාධපුරෙ පුරවැසියෙක් වෙලා ඉන්නකොට ඔහොම අහන්නෙ මොන හිතකින්ද අයිසෙ,NOT,@Ser man as a citizen of Anuradhapura,1,1407006280028344328
@USER ගෑස් සමාගමේ ඉල්ලීම හරි. දැන් කිරිපිටි සමාගම් වල ඉල්ලීමත් ඉෂ්ට කරපල්ලා එතකොට ඔක්කොම හරි. අන්තිමට කෙලවෙන්නේ මිනිස්සුන්ට ම තමයි නොදකින්,HOF,"The request of @ser Gas Company's request is right.Now the request of milk powder companies is also all right.Finally, people are not gonna",0,1425695731214524421
ඉවසන්න බෑ බොලව් මේ කරුම රස්නේ. !,NOT,Can I can't be patient.!,1,967397223611985920
@USER කාලක් මොනවා කරන්න ද බොල... බොතලයක් අරන් වර..,NOT,What is a booth ...,1,1014722253013975040
@USER විහිලු සපයනවා විතරයි  @USER,NOT,@Suer funny only provides @user,1,1324245972256350208
@USER අන්තාවාදියෝ වෙලා පාරට බහින එව්න්ව මට්ටු කරන්න බැරි පොන්නයෝ ඉන්න හමුදාවක් කියලාද දන්නෑ අර පරට්ට සබ්‍රී හිතං ඇත්තේ.. ඌ දන්නෑ ලෝකේ ඉන්න දරුණුම ත්‍රස්තවාදීන්වත් ඉවරයක් කරේ අපේ හමුදාව කියලා....,HOF,"The Ponno is a military army that is unknown to the ponneo, which is unable to get into the streets.",0,1341762194074058758
@USER අම්මෝ හොඳයි කියලවත් කරගන්න බැරි වැඩක්..,NOT,@User's work to don't even know ..,1,1467126323441283087
@USER  apdate NEWS LINE එකේ වෙිගය ටිකක් වැඩි කලොත් හොදයි.,NOT,@Serpdate The Linge is a little more.,1,701085980111958017
@USER  @USER බුදාම්මෝ ...මරු බඩුව එක්ක එන්නෙ,NOT,@Ser @user Budaamo ... the dead,1,1070663148493918208
"""මගෙන් ගුටි නොකා පලයන්, ගිහින් නාගෙන වරෙන්."" ඔන්න ඔහොමයි තාත්ත මල්ලිව නාන්න යැව්වේ.",NOT,"""Repeat from me, go, and you're done.""Here you sent Dad.",1,1123449569130446853
හුකනවා හුත්තෝ අපි දිනුවා   පකෝ මට බැ හුත්තො .......,HOF,"We win Huthlows, and I won them .......",0,1142118066051923968
