id,label
task1a_test_1,HOF
task1a_test_2,NOT
task1a_test_3,HOF
task1a_test_4,NOT
task1a_test_5,NOT
task1a_test_6,HOF
task1a_test_7,NOT
task1a_test_8,NOT
task1a_test_9,HOF
task1a_test_10,NOT
task1a_test_11,NOT
task1a_test_12,NOT
task1a_test_13,HOF
task1a_test_14,NOT
task1a_test_15,NOT
task1a_test_16,NOT
task1a_test_17,NOT
task1a_test_18,HOF
task1a_test_19,NOT
task1a_test_20,HOF
task1a_test_21,NOT
task1a_test_22,HOF
task1a_test_23,HOF
task1a_test_24,HOF
task1a_test_25,NOT
task1a_test_26,NOT
task1a_test_27,HOF
task1a_test_28,NOT
task1a_test_29,NOT
task1a_test_30,HOF
task1a_test_31,NOT
task1a_test_32,NOT
task1a_test_33,NOT
task1a_test_34,HOF
task1a_test_35,HOF
task1a_test_36,NOT
task1a_test_37,NOT
task1a_test_38,HOF
task1a_test_39,NOT
task1a_test_40,NOT
task1a_test_41,NOT
task1a_test_42,HOF
task1a_test_43,NOT
task1a_test_44,NOT
task1a_test_45,HOF
task1a_test_46,NOT
task1a_test_47,NOT
task1a_test_48,NOT
task1a_test_49,NOT
task1a_test_50,NOT
task1a_test_51,NOT
task1a_test_52,NOT
task1a_test_53,HOF
task1a_test_54,HOF
task1a_test_55,NOT
task1a_test_56,NOT
task1a_test_57,NOT
task1a_test_58,HOF
task1a_test_59,NOT
task1a_test_60,HOF
task1a_test_61,HOF
task1a_test_62,HOF
task1a_test_63,NOT
task1a_test_64,NOT
task1a_test_65,NOT
task1a_test_66,NOT
task1a_test_67,HOF
task1a_test_68,NOT
task1a_test_69,NOT
task1a_test_70,NOT
task1a_test_71,NOT
task1a_test_72,NOT
task1a_test_73,HOF
task1a_test_74,NOT
task1a_test_75,NOT
task1a_test_76,NOT
task1a_test_77,NOT
task1a_test_78,NOT
task1a_test_79,NOT
task1a_test_80,NOT
task1a_test_81,NOT
task1a_test_82,NOT
task1a_test_83,NOT
task1a_test_84,NOT
task1a_test_85,HOF
task1a_test_86,NOT
task1a_test_87,NOT
task1a_test_88,NOT
task1a_test_89,HOF
task1a_test_90,NOT
task1a_test_91,NOT
task1a_test_92,NOT
task1a_test_93,NOT
task1a_test_94,NOT
task1a_test_95,HOF
task1a_test_96,NOT
task1a_test_97,NOT
task1a_test_98,NOT
task1a_test_99,NOT
task1a_test_100,NOT
task1a_test_101,NOT
task1a_test_102,NOT
task1a_test_103,NOT
task1a_test_104,HOF
task1a_test_105,NOT
task1a_test_106,NOT
task1a_test_107,NOT
task1a_test_108,NOT
task1a_test_109,NOT
task1a_test_110,HOF
task1a_test_111,NOT
task1a_test_112,HOF
task1a_test_113,HOF
task1a_test_114,HOF
task1a_test_115,HOF
task1a_test_116,NOT
task1a_test_117,NOT
task1a_test_118,NOT
task1a_test_119,HOF
task1a_test_120,NOT
task1a_test_121,NOT
task1a_test_122,HOF
task1a_test_123,NOT
task1a_test_124,NOT
task1a_test_125,NOT
task1a_test_126,HOF
task1a_test_127,NOT
task1a_test_128,NOT
task1a_test_129,NOT
task1a_test_130,NOT
task1a_test_131,HOF
task1a_test_132,HOF
task1a_test_133,NOT
task1a_test_134,NOT
task1a_test_135,NOT
task1a_test_136,NOT
task1a_test_137,NOT
task1a_test_138,HOF
task1a_test_139,NOT
task1a_test_140,HOF
task1a_test_141,NOT
task1a_test_142,NOT
task1a_test_143,NOT
task1a_test_144,HOF
task1a_test_145,NOT
task1a_test_146,HOF
task1a_test_147,NOT
task1a_test_148,NOT
task1a_test_149,NOT
task1a_test_150,HOF
task1a_test_151,HOF
task1a_test_152,NOT
task1a_test_153,NOT
task1a_test_154,NOT
